url,title,description,image,date,hnurl
https://www.tdpain.net/blog/a-year-of-reading,I Tracked Everything I Read on the Internet for a Year :: Thomas Pain,,https://www.tdpain.net/blog/a-year-of-reading/articlesOverTime.png,2023-12-25T18:50:57.248586793Z,https://news.ycombinator.com/item?id=32759786
https://codeburst.io/using-github-actions-with-repository-dispatch-event-c113a45b3948,Using Github Actions with Repository Dispatch Event | by Sanjar Kairosh | codeburst,"If you ever set up a Github Actions workflow on a repository, you will recognize the YAML file that executes steps upon any code you push…",https://miro.medium.com/v2/resize:fit:1200/1*JdXNjkwq9R5hyZuzWGDF_Q.jpeg,2023-12-25T19:05:47.295131173Z,
https://www.vox.com/even-better/24009816/guide-difficult-conversations-hate-confrontation-handle-conflict-communication,How to have a difficult conversation if you hate confrontation - Vox,"""We don’t avoid conversations because they don’t matter. We avoid them because they do matter.""",https://cdn.vox-cdn.com/thumbor/IFPlS25e3hg6JUZE1dr4hAXE0r0=/0x911:4775x3411/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25176952/GettyImages_132075562.jpg,2023-12-25T19:18:09.053520997Z,
https://www.theguardian.com/technology/ng-interactive/2023/nov/01/how-ai-chatbots-like-chatgpt-or-bard-work-visual-explainer,How AI chatbots like ChatGPT or Bard work – visual explainer | Technology | The Guardian,"In the last year, chatbots powered by large language models are everywhere and even … useful. But how do they work?",https://i.guim.co.uk/img/media/08cf0916b9d5c1ddaa80726e312544e5bec12b6d/0_0_5000_3000/master/5000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=c4e116e22970b77992f2b31563ef65a9,2023-12-26T19:32:35.167440062Z,https://news.ycombinator.com/item?id=38098601
https://medium.com/@kozyrkov/why-i-quit-my-job-as-googles-chief-decision-scientist-f3a818150807,"Why I quit my job as Google’s Chief Decision Scientist | by Cassie Kozyrkov | Oct, 2023 | Medium","What’s it like to go from being Chief Decision Scientist at Google to being, well… just me?",https://miro.medium.com/v2/resize:fit:1200/0*RqhVFIqw1rWp7zPa.jpg,2023-12-27T06:39:50.043748825Z,https://news.ycombinator.com/item?id=38066724
https://www.botify.com/blog/how-search-generative-experience-impacts-organic-search-strategies,How Search Generative Experience Impacts Organic Search Strategies | Botify,"The biggest difference between SGE and a traditional search is that SGE recalls the original query, which enables it to be modified without the user retyping or changing the original search. This in effect makes Google search function more like a chatbot, inviting users to have conversations with the internet the LLM has learned.",https://www.botify.com/wp-content/uploads/2023/12/SGE-TL_Blog-Featured-Image_121223.jpg,2023-12-27T07:03:32.208405132Z,
https://www.thecaringtechie.com/p/software-eng-guide-to-saying-no,"The Software Engineer's guide to saying ""no""","A 3 part framework for saying ""no"" + how to apply it + examples","https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fbcde8b7a-2def-4d7d-b3ed-6ec8c6da3a67_1424x850.png",2023-12-27T12:48:46.654424096Z,
https://www.anniemacmanus.com/articles/life-lessons-from-a-44-year-old,Life lessons from a 44 year old.,"Don’t exercise to be thin. Exercise to be strong. The best place for ideas is alone and on the move. Start or end every day with writing about your life. Take what’s in your head and type it out, even if you don’t feel like you are thinking anything of note. There’s always something buried underneath the to do list in your head, something you didn’t realise you felt, that when written down, will make everything clearer.",https://assets-global.website-files.com/5f7c46754748a12da6217b52/5f8080d570a2f3e0c210b7e8_AnnieM_web_image.png,2023-12-27T13:19:07.357529408Z,https://news.ycombinator.com/item?id=38475622
https://www.bbc.com/future/article/20230912-how-i-hacked-my-brain,How I rewired my brain in six weeks,"There is growing evidence that simple, everyday changes to our lives can alter our brains and change how they work. Melissa Hogenboom put her own brain in the scanner to find out.",https://ychef.files.bbci.co.uk/624x351/p0gd3148.jpg,2023-12-27T13:33:24.502589221Z,https://news.ycombinator.com/item?id=37565559
https://tompendergast.substack.com/p/why-im-not-going-paid,Why I'm Not Going Paid on Substack - by Tom Pendergast,Going paid on Substack may not be all it's cracked up to be,"https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F15412383-8352-41ec-b358-1c780b5965fe_1016x697.png",2023-12-29T06:29:54.896890219Z,
